ISBN,Title,Author,Year-Of-Publication,Publisher
059067319X,"Night in Werewolf Woods (Give Yourself Goosebumps, No 5)",R. L. Stine,1996,Scholastic
0446612812,Have You Seen Her?,Karen Rose,2004,Warner Books
0821770802,Can't Stop Loving You (Zebra Romantic Suspense),Janelle Taylor,2001,Kensington Publishing Corporation
1551666960,The Delaney Woman,Jeanette Baker,2003,Mira
0553803409,"Firestorm (Johansen, Iris)",IRIS JOHANSEN,2004,Bantam
074320607X,"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark,2004,Simon &amp; Schuster
0060514930,"Dead Ringer (Scottoline, Lisa)",Lisa Scottoline,2003,HarperCollins
0446612510,The Fourth Perimeter,Tim Green,2003,Warner Books
1551669455,Deadly Grace,Taylor Smith,2003,Mira Books
0553581023,Follow the Stars Home,Luanne Rice,2001,Bantam Books
0425192784,Witching Moon (Berkley Sensation),Rebecca York,2003,Berkley Publishing Group
0440225043,The Midnight Hour,Karen Robards,1999,Dell Publishing Company
1551661535,Midnight Rainbow,Linda Howard,1996,Mira
0553802542,Thursday's Child,Sandra Brown,2002,Bantam Books
0671034421,Open Season,Linda Howard,2001,Atria
0380807122,"Baby, Don't Go (Avon Light Contemporary Romances)",Susan Andersen,2000,Avon
1551665867,Sacred Trust,Meg O'Brien,2000,Mira
0380807149,All Shook Up (Avon Romance),Susan Andersen,2001,Avon
0380795116,"Baby, I'm Yours",Susan Andersen,1998,Avon
0380795124,Be My Baby (Avon Light Contemporary Romances),Susan Andersen,1999,Avon
0446603392,Strange Highways,Dean Koontz,1996,Warner Books
0399139540,Debt of Honor,Tom Clancy,1994,Putnam Publishing Group
0385315236,The Horse Whisperer,Nicholas Evans,1995,Delacorte Press
0446520950,Total Control,David Baldacci,1997,Warner Books
014005829X,East of Eden,John Steinbeck,0,Penguin Putnam~trade
059042792X,My Brother Sam Is Dead (Point),James Lincoln Collier,1989,Scholastic Paperbacks
0449911446,Before Women Had Wings (Ballantine Reader's Circle),Connie May Fowler,1997,Ballantine Books
0743225422,The Shipping News : A Novel,Annie Proulx,2001,Scribner
0060558121,American Gods : A Novel,Neil Gaiman,2003,Perennial
0374199698,Middlesex: A Novel,Jeffrey Eugenides,2002,"Farrar, Straus and Giroux"
0373250460,You Have To Kiss A Lot Of Frogs,Laurie Graff,2004,Red Dress Ink
1573220876,About a Boy,Nick Hornby,1998,Riverhead Books
044041833X,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2001,Yearling
0380793334,Joining,Johanna Lindsey,2000,Avon
0553284169,Rightfully Mine,Doris Mortman,1990,Bantam Books
0399146695,Lost and Found,Jayne Ann Krentz,2001,G. P. Putnam's Sons
0345384377,Sole Survivor,DEAN KOONTZ,1997,Ballantine Books
0425097773,Mask,Dean R. Koontz,1989,Penguin Putnam~mass
0553580884,The Undertaker's Widow,Phillip Margolin,1999,Bantam Books
0553574957,The Burning Man,Phillip Margolin,1997,Bantam Books
0671891685,Zeke and Ned,Larry McMurtry,1997,Pocket
0553299468,Midnight Warrior,IRIS JOHANSEN,1994,Bantam
0449214362,Glittering Images,Susan Howatch,1996,Fawcett Books
0399145885,Atlantis Found (Dirk Pitt Adventures (Hardcover)),Clive Cussler,1999,Putnam Publishing Group
0446602620,Blood Work,Michael Connelly,1998,Warner Books
0375753834,Georgiana: Duchess of Devonshire (Modern Library (Paperback)),Amanda Foreman,2001,Modern Library
0451202732,The Second Silence,Eileen Goudge,2001,Signet Book
0553266306,The Day of the Jackal,Frederick Forsyth,1982,Bantam Books
0439284031,Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them,J .K. Rowling,2001,Scholastic
2895400644,J'�?©tais si timide que j'ai mordu la ma�?®tresse,Minne,2003,Les 400 coups
0802132758,Rosencrantz &amp; Guildenstern Are Dead,Tom Stoppard,1991,Grove Press
037540600X,Horse Heaven,Jane Smiley,2000,Random House Inc
0670896764,A Day Late and a Dollar Short,Terry McMillan,2001,Viking Books
0374292035,The Woman and the Ape,Peter Hoeg,1996,Farrar Straus &amp; Giroux
1563890119,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,1993,DC Comics
0930289595,"The Doll's House (Sandman, Book 2)",Neil Gaiman,1991,DC Comics
0440204399,Catch 22,Joseph Heller,1992,Dell Publishing Company
0375700137,The War of Don Emmanuel's Nether Parts,LOUIS DE BERNIERES,1997,Vintage
0312202318,A Home at the End of the World: A Novel,Michael Cunningham,1998,Picador USA
0449911535,The Handmaid's Tale,Margaret Atwood,1996,Ballantine Books
0684802031,"First Things First: To Live, to Love, to Learn, to Leave a Legacy",Stephen R. Covey,1996,Free Press
0553349481,Another Roadside Attraction,TOM ROBBINS,1990,Bantam
0451208188,The English Assassin,Daniel Silva,2003,Signet Book
044900371X,The Orchid Thief (Ballantine Reader's Circle),Susan Orlean,2000,Ballantine Books
0743422082,The Immaculate Deception,Iain Pears,2001,Pocket
0385491026,Cat's Eye,Margaret Atwood,1998,Anchor
0449208109,Things Fall Apart,Chinua Achebe,1984,Ballantine Books
0440211697,Phantom,Susan Kay,1993,Dell Publishing Company
055356921X,The Strange Files of Fremont Jones (Fremont Jones Mysteries (Paperback)),Dianne Day,1996,Bantam
0380715430,The Mother Tongue,Bill Bryson,1991,Perennial
0449219232,Jasmine,Bharati Mukherjee,1991,Fawcett Books
0553227750,Clan of the Cave Bear,Jean Auel,1982,Bantam Doubleday Dell
0446364495,The Bridges of Madison County,Robert James Waller,1995,Warner Books
0811831310,Worst Case Scenario Survival Handbook: Travel,Joshua Piven,2001,Chronicle Books
006109286X,The Pardon,James Grippando,1995,Avon Books
0836218426,Wildlife Preserves,Gary Larson,1989,Andrews McMeel Publishing
0451457994,2001: A Space Odyssey,Arthur C. Clarke,2000,Roc
006052510X,Happiness : A Novel,Will Ferguson,2003,Perennial
0451409361,The Lamorna Wink: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,2000,Onyx Books
0064400034,Farmer Boy (Little House),Laura Ingalls Wilder,1953,HarperTrophy
0394800168,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),Dr. Seuss,1960,Random House Books for Young Readers
0694003611,Goodnight Moon Board Book,Margaret Wise Brown,1991,HarperFestival
0807576743,"Surprise Island (Boxcar Children Series, No 2)",Gertrude Chandler Warner,1989,Albert Whitman &amp; Company
0590494465,"The Haunted Mask (Goosebumps, No 11)",R. L. Stine,1995,Scholastic
0380762609,All I Need Is You,Johanna Lindsey,1998,Avon
0440237009,The House on Hope Street,Danielle Steel,2001,Dell Publishing Company
0671749412,Going Home,Danielle Steel,1991,Pocket
0440186560,To Love Again,Danielle Steel,1981,Dell
0440184053,Summer's End,Danielle Steel,1980,Dell
0440185327,Thurston House,Danielle Steel,1984,Dell
0440217547,Accident,Danielle Steel,1995,Dell
0515115630,Family Blessings,LaVyrle Spencer,1996,Jove Books
055357602X,In a Class by Itself,Sandra Brown,2000,Bantam Books
0451196716,The Long Walk,Stephen King,1999,Signet Book
1551662779,Best Of Enemies,Taylor Smith,1997,Mira
1551668181,Innocents Club,Taylor Smith,2001,Mira
0451201744,The Walking,Bentley Little,2000,Signet Book
0515090166,The Cat Who Saw Red,Lilian Jackson Braun,1991,Jove Books
0515087947,The Cat Who Turned on and Off (Cat Who... (Paperback)),Lilian Jackson Braun,1995,Jove Books
0670868361,Desperation,Stephen King,1996,Viking Books
0452262143,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1989,Plume Books
0451167805,Firestarter,Stephen King,2003,Signet Book
0451132378,Pet Sematary,Stephen King,1984,Signet Book
0451190564,The Green Mile: Night Journey (Green Mile Series),Stephen King,1996,Signet Book
0451190556,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),Stephen King,1996,Signet Book
055357227X,"The Web (Alex Delaware Series, No. 10)",JONATHAN KELLERMAN,1996,Bantam
055329170X,Time Bomb (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1991,Bantam Books
0425174271,Certain Prey,John Sandford,2000,Berkley Publishing Group
039914613X,Easy Prey,John Sandford,2000,Putnam Publishing Group
0399143823,Secret Prey,John Sandford,1998,Putnam Pub Group
0425126064,Shadow Prey,John Sandford,2004,Berkley Publishing Group
0440986524,"That Was Then, This Is Now",S. E. Hinton,1989,Random House Childrens Pub (Mm)
1551664313,Random Acts,Taylor Smith,1998,Mira
0743475488,Kill and Tell : A Novel,Linda Howard,2003,Pocket Star
0061042935,Everywhere That Mary Went,Lisa Scottoline,1993,HarperTorch
0778320057,Scent Of A Killer (Mira),Christiane Heggan,2004,Mira Books
0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group
0451202287,Tracking Time (April Woo Suspense Novels (Paperback)),Leslie Glass,2001,Signet Book
0380708213,The Forever War,Joe Haldeman,1991,Eos
0553293354,Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1991,Spectra
0385335210,Moon Women,Pamela Duncan,2002,Delta
0312973055,Robert Ludlum's The Hades Factor,Robert Ludlum,2001,St. Martin's Paperbacks
1573227358,"The Dark Side of the Light Chasers: Reclaiming Your Power, Creativity, Brilliance, and Dreams",Debbie Ford,1999,Riverhead Books
0553382179,Sink Reflections,MARLA CILLEY,2002,Bantam
0451457595,The River's Gift,Mercedes Lackey,1999,Roc
0786881887,"Myst, The: Book of Atrus",Rand Miller,1995,Hyperion
0786889209,Myst: The Book of Ti'ana,Rand Miller,1997,Hyperion
051511054X,Bygones,LaVyrle Spencer,1996,Jove Books
0752837613,The Lost Boy,Dave Pelzer,2001,Orion mass market paperback
0553089226,The Clinic,Jonathan Kellerman,1997,Bantam
0446364789,"Snake, the Crocodile &amp; the Dog, The (Amelia Peabody Mysteries (Paperback))",Elizabeth Peters,1994,Warner Books
0451151224,The Running Man,Stephen King,1987,Signet Book
0425054535,Et the Extra Terrestrial,William Kotzwinkle,1982,Penguin Putnam~mass
0425109720,Patriot Games (Jack Ryan Novels),Tom Clancy,1992,Berkley Publishing Group
0671670646,Gates of Paradise,V.C. Andrews,1989,Pocket
0671028006,Misty (Wildflowers),V.C. Andrews,1999,Pocket
0345309979,"Belgariad Part One (Eddings, David. , the Belgariad, Bk. 1.)",David Eddings,1982,Ballantine Books
0345335708,"Castle of Wizardry (The Belgariad, Book 4)",David Eddings,1991,Del Rey Books
0786890053,Pearl Harbor Movie Tie-In,Randall Wallace,2001,Hyperion
0425142868,McNally's Risk (Archy McNally Novels (Paperback)),Lawrence Sanders,1994,Berkley Publishing Group
0425137457,McNally's Luck (Archy McNally Novels (Paperback)),Lawrence Sanders,1993,Berkley Publishing Group
042514755X,McNally's Trial (Archy McNally Novels (Paperback)),Lawrence Sanders,1995,Berkley Publishing Group
0671759345,Ruby (Landry),V.C. Andrews,1994,Pocket
0671670662,WEB OF DREAMS (Casteel Saga (Paperback)),V.C. Andrews,1990,Pocket
0446344281,Angels of September,Andrew M Greeley,1987,Warner Books
042511872X,Stolen Blessings,Lawrence Sanders,1994,Berkley Publishing Group
0425116417,Timothy's Game,Lawrence Sanders,1999,Berkley Publishing Group
042512164X,Capital Crimes,Lawrence Sanders,2000,Berkley Publishing Group
0440203856,Zoya,Danielle Steel,1989,Dell
0440126894,Full Circle,Danielle Steel,1985,Dell
0553264079,I'll Take Manhattan,Judith Krantz,1987,Bantam Books
0553256211,Hold the Dream,Barbara Bradford Taylor,1986,Bantam Books
088038672X,"Streams of Silver (Forgotten Realms: The Icewind Dale Trilogy, Book 2)",R.A. Salvatore,1989,Wizards of the Coast
0553271091,The Road to Gandolfo,Robert Ludlum,1992,Bantam Books
345387319X,Naked.,David Sedaris,2003,Heyne
0060080841,The Stepford Wives,Ira Levin,2002,Perennial
0441005241,"Burnt Offerings (Anita Blake, Vampire Hunter)",Laurell K. Hamilton,2001,Ace Books
0441004520,Killing Dance (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,Ace Books
0441003745,Bloody Bones (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,ACE Charter
0553575430,"Stalking Darkness (Nightrunner, Vol. 2)",Lynn Flewelling,1997,Bantam
0553575422,"Luck in the Shadows (Nightrunner, Vol. 1)",LYNN FLEWELLING,1996,Spectra
0843949945,Dark Guardian,Christine Feehan,2002,Leisure Books
0812517164,The Forever King (Forever King Trilogy),Molly Cochran,1993,Tor Books
0385306040,Malice,Danielle Steel,1996,Delacorte Press
0385316879,Journey,Danielle Steel,2000,Delacorte Press
0743457269,A Knight in Shining Armor,Jude Deveraux,2002,Pocket
0330334026,Mad Cows,Kathy Lette,1997,Pan Books - Macmillan UK
0446527041,The Crush,Sandra Brown,2002,Warner Books
0385334710,Looking Back,Belva Plain,2001,Delacorte Press
0312179405,Tell Me Lies,Jennifer Crusie,1998,St Martins Pr
0440211891,Heartbeat,Danielle Steel,1992,Dell
0451204956,Bad Boy,Olivia Goldsmith,2002,Signet Book
0515124214,Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
0380820889,Blindsighted,Karin Slaughter,2002,HarperTorch
0061053716,Imajica,Clive Barker,1997,Eos
0440213282,No Greater Love,Danielle Steel,1992,Dell
0671027972,Single &amp; Single,John le Carre,2000,Pocket
0385260075,Cat's Eye,Margaret Atwood,1989,Doubleday Books
0385425074,Backlash: The Undeclared War Against American Women,Susan Faludi,1992,Anchor
0689704208,The Dark is Rising (The First Book in The Dark Is Rising Sequence),Susan Cooper,1976,Athenum
1551665816,Expose (Mira),Laura Van Wormer,2000,Mira
0373482345,Silhouette Christmas Stories 1991,Phyllis Halldorson,1991,Silhouette
0380753022,Gentle Rogue (Malory Novels (Paperback)),Johanna Lindsey,1990,Avon
0679853065,A Day No Pigs Would Die,Robert Newton Peck,1994,Random House Children's Books
067152609X,The Return (Star Trek),William Shatner,1997,Star Trek
078688262X,"What No One Tells the Bride : Surviving the Wedding, Sex After the Honeymoon",Marg Stark,1998,Hyperion
0192827618,Sense and Sensibility (World's Classics),Jane Austen,1990,Oxford University Press
1853260630,Candide (Wordsworth Classics),Voltair,1993,Wordsworth Editions Ltd
0451524551,Moby Dick or the White Whale,Herman Melville,1990,Signet Classics
0380802309,Someone to Watch over Me,Lisa Kleypas,1999,Avon
0140621792,Madame Bovary (Penguin Popular Classics),Gustave Flaubert,1995,Penguin Books Ltd
0061092177,Small Gods (Discworld Novels (Paperback)),Terry Pratchett,1994,HarperTorch
0440983568,Stranger With My Face (Laurel Leaf Books),Lois Duncan,1990,Laure Leaf
0671745115,The WICKED HEART,Christopher Pike,1993,Simon Pulse
0671690590,MASTER OF MURDER,Christopher Pike,1992,Simon Pulse
0590430149,Slumber Party (Point Paperback),Christopher Pike,1993,Scholastic Paperbacks (Mm)
0671745107,The IMMORTAL : THE IMMORTAL,Christopher Pike,1993,Simon Pulse
0440918642,Daughters of Eve (Laurel Leaf Books),Lois Duncan,1990,Laure Leaf
0689829833,Dark is Rising (Dark is Rising Sequence (Paperback)),Susan Cooper,1999,Aladdin
0316290238,The Collector (Back Bay Books),John Fowles,1997,Back Bay Books
0425065553,White Plague,Frank Herbert,1983,Penguin Putnam~mass
0380753014,Warrior's Woman,Johanna Lindsey,1999,Avon
0821772279,Realm of Shadows,Shannon Drake,2002,Kensington Publishing Corporation
0380767597,Forget Me Not,Elizabeth Lowell,1994,Avon
0380897393,When Love Awaits,Johanna Lindsey,1986,Avon
0553561537,Desire,Amanda Quick,1994,Bantam
0380811987,"Rules of Engagement (Governess Brides, Book 2)",Christina Dodd,2000,Avon
0380761483,So Worthy My Love,Kathleen E. Woodiwiss,1990,Avon
0451208072,St. Raven,Jo Beverley,2003,Signet Book
0553574108,I Thee Wed,Amanda Quick,2000,Bantam Books
0671689738,SWEET LIAR,Jude Deveraux,1992,Atria
0451205804,Hazard,Jo Beverley,2002,Signet Book
0553580280,Catch As Cat Can,Rita Mae Brown,2003,Bantam Books
0451523024,Uncle Tom's Cabin,Harriet Beecher Stowe,1997,Signet Classics
0399151079,The Cat Who Talked Turkey,Lilian Jackson Braun,2004,Putnam Publishing Group
0373153309,"Circle Of Gold (Silhouette Romance, eHarlequin.com)",Diana Palmer,2000,Harlequin Books
084232920X,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind #6)",Tim Lahaye,1999,Tyndale House Publishers
0842329161,Apollyon: The Destroyer Is Unleashed (Left Behind #5),Tim Lahaye,1999,Tyndale House Publishers
038075911X,The Black Lyon,Jude Deveraux,1980,Avon
0060185708,The Reluctant Suitor,Kathleen E. Woodiwiss,2003,William Morrow
0842329285,The Indwelling: The Beast Takes Possession (Left Behind #7),Tim Lahaye,2000,Tyndale House Publishers
0380811979,Rules of Surrender (Governess Brides),Christina Dodd,2000,Avon
0380385880,Shanna,Kathleen E. Woodiwiss,1978,Avon
0515127213,The Courtship,Catherine Coulter,2000,Jove Books
0553212281,The Tell-Tale Heart (Bantam Classics),EDGAR ALLAN POE,1983,Bantam Classics
0425191230,Material Girl (Berkley Sensation),Julia London,2003,Berkley Publishing Group
0394551540,Alaska,James A. Michener,1988,Random House Inc
0688065716,The Sands of Time,Sidney Sheldon,1988,William Morrow &amp; Company
0449221873,Mexico,James A. Michener,1994,Fawcett Books
0688066631,Whirlwind,Clavell,1986,Harpercollins
0449219569,Comeback,Dick Francis,1994,Fawcett Books
0821767089,If She Only Knew,Lisa Jackson,2000,Kensington Publishing Corporation
0684832291,My Gal Sunday,Mary Higgins Clark,1996,Simon &amp; Schuster
0515120278,The Cat Who Said Cheese,Lilian Jackson Braun,1997,Jove Books
0028604202,Politically Correct Holiday Stories: For an Enlightened Yuletide Season,James Finn Garner,1995,John Wiley &amp; Sons Inc
0553240951,Out on a Limb,Shirley McClaine,1984,Bantam Books
0201517205,Iron John: A Book About Men,Robert Bly,1990,Perseus Books Group
0805004610,"G Is for Gumshoe: A Kinsey Millhone Mystery (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,1990,Henry Holt &amp; Company
038078405X,Together,Linda L. Miller,2001,HarperTorch
0452281229,The Chisellers,Brendan O'Carroll,2000,Plume Books
0786890371,Cranberry Queen,Kathleen DeMarco,2002,Miramax
0670032069,Revenge of the Middle-Aged Woman,Elizabeth Buchan,2003,Viking Books
0385491808,Crooked Little Heart,Anne Lamott,1998,Anchor Books/Doubleday
1573229350,Best Friends,Martha Moody,2002,Riverhead Books
0446607177,Riptide,Douglas Preston,1999,Warner Books
0553573926,Vertical Run,Joseph R. Garber,1996,Bantam Books
0061097624,Found Money,James M. Grippando,2000,Avon Books
0553576089,In the Presence of the Enemy,ELIZABETH GEORGE,1997,Bantam
0061097306,Act of Revenge,Robert K. Tanenbaum,2000,HarperTorch
0515124060,The Investigators (Badge of Honor Novels (Paperback)),W. E. B. Griffin,1998,Jove Books
0446609617,Standoff,Sandra Brown,2001,Warner Vision
0375500723,The Heart of a Woman (Oprah's Book Club (Hardcover)),Maya Angelou,1997,Random House
0140264795,Rosie: A Novel,Anne Lamott,1997,Penguin Books
0330331698,All the Pretty Horses (UK edition),Cormac Mccarthy,0,Pan Books Ltd
0451160959,Stand,Stephen King,1980,Signet Book
0060924640,Hank &amp; Chloe,Jo-Ann Mapson,1994,Perennial
0385497954,The Tale of Murasaki: A Novel,Liza Crihfield Dalby,2001,Anchor Books/Doubleday
080411188X,Defend and Betray (William Monk Novels (Paperback)),Anne Perry,1993,Ivy Books
0345354575,Homeplace,Anne Rivers Siddons,1988,Ballantine Books
044630798X,And More by Andy Rooney,Andy Rooney,1983,Warner Books
0449904067,Dave Barry's Greatest Hits,DAVE BARRY,1989,Ballantine Books
0380703149,Father Melancholy's Daughter,Gail Godwin,1992,Harper Mass Market Paperbacks
0380703130,A Southern Family,Gail Godwin,1995,Harper Mass Market Paperbacks (Mm)
0380615983,A Mother and Two Daughters,Gail Godwin,1983,Avon Books
0553569376,The Courtship of Princess Leia (Star Wars),Dave Wolverton,1995,Bantam
0385319444,Lost in Translation,Nicole Mones,1999,Delta
0446607401,At All Costs,John Gilstrap,1999,Warner Books
0375709215,The Mark of the Angel,Nancy Huston,2000,Vintage Books USA
0399141200,That Camden Summer,Lavyrle Spencer,1996,Putnam Pub Group
0385497296,The Vine of Desire,Chitra Banerjee Divakaruni,2002,Doubleday Books
0425149625,The Grass Dancer,Susan Power,1995,Berkley Publishing Group
0670030651,Testimony of an Irish Slave Girl,Kate McCafferty,2002,Viking Books
0671028014,Star (Wildflowers),V.C. Andrews,1999,Pocket
0425099148,Death in the Clouds,Agatha Christie,1997,Berkley Publishing Group
0812504321,The Call of the Wild : Complete and Unabridged (Tor Classics),Jack London,1990,Aerie
0425091805,Three Act Tragedy (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2004,Berkley Publishing Group
0345351959,Willow: A Novel,Wayland Drew (Adapter),1988,Del Rey Books
0446400157,A Morbid Taste for Bones: The First Chronicle of Brother Cadfael,Ellis Peters,1994,Warner Books
034541215X,Bimbos of the Death Sun,SHARYN MCCRUMB,1996,Fawcett
0061099481,Magic Hour,Susan Isaacs,1992,HarperTorch
0671724738,Postcards from the Edge,Carrie Fisher,1990,Pocket
0399146601,Shattered,Dick Francis,2000,Putnam Publishing Group
0425130258,Peril at End House (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2003,Berkley Publishing Group
0345253736,White Dragon,Anne Mccaffrey,1979,Ballantine Books
0345362861,Dragonsdawn,Anne McCaffrey,1989,Del Rey Books
0553293362,Second Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1991,Spectra
0441089348,Burning Chrome (Ace Science Fiction),William Gibson,1994,Ace Books
0440435749,The High King (Chronicles of Prydain (Paperback)),LLOYD ALEXANDER,1969,Yearling
0440406498,The Black Cauldron (Chronicles of Prydain (Paperback)),LLOYD ALEXANDER,1985,Yearling Books
0440407028,The Book of Three (Chronicles of Prydain (Paperback)),LLOYD ALEXANDER,1978,Yearling
1400060265,Honku : The Zen Antidote to Road Rage,AARON NAPARSTEK,2003,Villard
1853260282,Emma (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company
0440957761,The Moon by Night (Austin Family),Madeleine L'Engle,1981,Laure Leaf
0451527097,One Day in the Life of Ivan Denisovich (Signet Classics (Paperback)),Alexander Solzhenitsyn,1998,Signet Book
0425154637,The Eagle Catcher (Arapaho Indian Mysteries),Margaret Coel,1996,Berkley Publishing Group
0425108589,Appointment With Death: A Hercule Poirot Mystery (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2001,Berkley Publishing Group
0671738623,DELUSIONS OF GRANDMA : DELUSIONS OF GRANDMA,Angela Fisher,1995,Pocket
1576739759,Secrets of the Vine: Breaking Through to Abundance,Bruce Wilkinson,2001,Multnomah
0312927746,Flowers in the Rain &amp; Other Stories,Rosamunde Pilcher,1992,St. Martin's Press
0679449434,Joy School,ELIZABETH BERG,1997,Random House
0399142983,Singing in the Comeback Choir,Bebe Moore Campbell,1998,Putnam Pub Group
0385485212,Missing Pieces,JOY FIELDING,1997,Doubleday
0425110427,Team Yankee: A Novel of World War III,Harold Coyle,1994,Berkley Publishing Group
0671463195,WINDS OF WAR,Herman Wouk,1983,Pocket
0373484836,Cordina'S Royal Family,Nora Roberts,2002,Silhouette
0373244487,Cordina's Crown Jewel,Nora Roberts,2002,Silhouette
0670878812,Riven Rock,T. C. Boyle,1998,Penguin USA
0394564324,Legacy,James A. Michener,1990,Random House
0515120871,Finding the Dream,Nora Roberts,1997,Jove Books
0743410602,Irresistible (Banning Sisters Trilogy),Karen Robards,2002,Pocket
0515131733,The Winston Brothers,Lori Foster,2001,Jove Books
0743457463,Irish Girls About Town: An Anthology of Short Stories,Maeve Binchy,2003,Pocket
0451163516,The Man from St. Petersburg (#1 Author's Classic Spy Thriller),Ken Follett,1991,Signet Book
038531700X,The Loop: A Novel,Nicholas Evans,1998,Delacorte Press
0064401871,A Little Princess,Frances Hodgson Burnett,1987,HarperTrophy
0380759500,Firefly,Piers Anthony,1992,Harper Mass Market Paperbacks (Mm)
0020518706,The Sun Also Rises (A Scribner classic),Ernest Hemingway,1982,Simon &amp; Schuster
0767903595,Clear Your Clutter With Feng Shui,Karen Kingston,1999,Broadway Books
0446671223,The Celestine Prophecy : AN EXPERIENTIAL GUIDE,Carol Adrienne,1995,Warner Books
0446611751,The Nine Month Plan,Wendy Markham,2003,Warner Books
0486277852,O Pioneers! (Dover Thrift Editions),Willa Cather,1993,Dover Publications
0967370167,Ella Minnow Pea: A Progressively Lipogrammatic Epistolary Fable,Mark Dunn,2001,MacAdam/Cage Publishing
0451168364,Nectar in a Sieve,Kamala Markandaya,1998,Penguin USA (Paper)
0671524097,Sharp Edges,Jayne Ann Krentz,1998,Pocket Star
089480619X,The Book of Questions: Love &amp; Sex,Gregory Stock,1989,Workman Publishing
0060932139,The Unbearable Lightness of Being : A Novel (Perennial Classics),Milan Kundera,1999,Perennial
0345345053,A Sand County Almanac (Outdoor Essays &amp; Reflections),Aldo Leopold,1990,Ballantine Books
0380762951,Just Desserts (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,1999,Avon
1559360615,Angels in America: Millennium Approaches (Angels in America),Tony Kushner,1993,Theatre Communications Group
0449217493,Caribbean,James A. Michener,1991,Fawcett Books
0449214192,Centennial,James A. Michener,1994,Fawcett Books
0679437037,Breaking the Surface,Greg Louganis,1995,Random House Inc
0385480334,Diary of a Young Girl: The Definitive Editon,Anne Frank,1996,Anchor
0061092614,Finding Moon,Tony Hillerman,1996,HarperTorch
0451133129,Growing Up,Russell Baker,1984,Penguin Putnam~mass
0449244741,Covenant,James Michener,1982,Ballantine Books
042518904X,Widow's Walk,Robert B. Parker,2003,Berkley Publishing Group
0451166876,Lust Killer (Signet True Crime S.),Ann Rule,1995,Signet Book
0060924799,"More Tales of the City (Maupin, Armistead. Tales of the City Series, V. 2.)",Armistead Maupin,1994,Harpercollins
0449210928,Texas,James A. Michener,1994,Fawcett Books
038072121X,In the Electric Mist with Confederate Dead,James L. Burke,1994,Avon
0441132456,Cyber Way,Alan Dean Foster,1990,Ace Books
0553298178,Garden of Rama,Arthur C. Clarke,1992,Bantam
0446350982,Presumed Innocent,Scott Turow,1988,Warner Books
0380722607,Contents Under Pressure : A Britt Montero Novel (Britt Montero Mysteries),Edna Buchanan,1999,Avon
0345312015,Hooligans,WILLIAM DIEHL,1985,Ballantine Books
0449205983,Shan,Eric Lustbader,1991,Fawcett Books
0451158717,Who's Afraid of Virginia Woolf?,Edward Albee,1988,Signet Book
0836218981,The Indispensable Calvin And Hobbes,Bill Watterson,1992,Andrews McMeel Publishing
0345340418,Death in a Tenured Position (Kate Fansler Novels (Paperback)),Amanda Cross,1995,Fawcett Books
0449211479,The Source,James A. Michener,1992,Fawcett Books
0345330145,The Puppet Masters,Robert A. Heinlein,1994,Del Rey Books
0515126985,"In Danger's Path (Griffin, W. E. B. Corps, Bk. 8.)",W. E. B. Griffin,1999,Jove Books
8817125539,An Italian in America,Beppe Severgnini,2001,St Martins Pr
0671740504,DEVIL IN A BLUE DRESS : An Easy Rawlins Mystery (Easy Rawlins Mysteries (Paperback)),Walter Mosley,1991,Pocket
0553293915,Kat's Cradle (Kat Colorado Mysteries),Karen Kijewski,1992,Bantam
0671709704,"Boogeyman (Star Trek: The Next Generation, No. 17)",Mel Gilden,1991,Star Trek
0671882678,Descent (Star Trek: The Next Generation),Diane Carey,1993,Star Trek
0671797042,"Sins of Commission (Star Trek The Next Generation, No 29)",Susan Wright,1994,Star Trek
0671520474,"The Captain's Daughter (Star Trek, Book 76)",Peter David,1995,Star Trek
067151914X,"Caretaker (Star Trek Voyager, No 1)",L.A. Graf,1995,Star Trek
0671705601,"Exiles (Star Trek The Next Generation, No 14)",Howard Weinstein,1990,Star Trek
