isbn,title,authors,publication_year,average_rating,ratings_count
316779423,Barrel Fever: Stories and Essays,David Sedaris,1994,3.78,44679
552152951,"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,1991,4.27,52845
1581345275,"Piercing the Darkness (Darkness, #2)",Frank E. Peretti,1989,4.3,44595
1400064287,Made to Stick: Why Some Ideas Survive and Others Die,"Chip Heath, Dan Heath",2006,3.97,46736
038000321X,Alive: The Story of the Andes Survivors,Piers Paul Read,1974,4.08,49300
143037749,On Beauty,Zadie Smith,2005,3.68,44317
446691097,Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,1995,4.33,26898
749932775,"Dance Upon the Air (Three Sisters Island, #1)",Nora Roberts,2001,4.19,50255
345335708,"Castle of Wizardry (The Belgariad, #4)",David Eddings,1984,4.16,54682
451233166,"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,2011,4.28,66871
1401323820,"Heat Wave (Nikki Heat, #1)",Richard Castle,2008,3.54,49283
345469011,A Widow for One Year,John Irving,1998,3.74,45051
7157150,"Out of the Silent Planet (Space Trilogy, #1)",C.S. Lewis,1938,3.92,49617
142404128,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)","Roald Dahl, Quentin Blake",1972,3.64,62359
60266864,If You Give a Pig a Pancake ,"Laura Joffe Numeroff, Felicia Bond",1998,4.23,51385
684853159,The Wasp Factory,Iain Banks,1984,3.85,46179
140006788X,Night Film,Marisha Pessl,2013,3.78,24865
080509329X,Stories I Only Tell My Friends,Rob Lowe,2011,3.77,47323
385536976,Crazy Rich Asians (Crazy Rich Asians #1),Kevin Kwan,2013,3.7,46208
385733410,"Rebel Angels (Gemma Doyle, #2)",Libba Bray,2005,3.98,81420
038533916X,"Bloodfever (Fever, #2)",Karen Marie Moning,2007,4.3,69032
385341636,"Faefever (Fever, #3)",Karen Marie Moning,2008,4.34,68452
159474758X,"Library of Souls (Miss Peregrine's Peculiar Children, #3)",Ransom Riggs,2015,4.15,58435
486424545,Howards End,E.M. Forster,1910,3.95,52006
1593070942,"Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)","Mike Mignola, John Byrne",1994,4.11,48485
1423160916,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,2015,4.26,78157
140439242,"The Man in the Iron Mask (The D'Artagnan Romances, #3.3)","Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel",1850,3.97,51856
143039989,The Haunting of Hill House,"Shirley Jackson, Laura   Miller",1959,3.89,55367
684856476,The Rum Diary,Hunter S. Thompson,1998,3.83,39300
60885432,"Little Town on the Prairie  (Little House, #7)","Laura Ingalls Wilder, Garth Williams",1941,4.18,63615
312181108,I Capture the Castle,Dodie Smith,1948,4,56444
1905654871,"Destined (House of Night, #9)","P.C. Cast, Kristin Cast",2011,4.04,56737
312383282,"Finger Lickin' Fifteen (Stephanie Plum, #15)",Janet Evanovich,2009,3.98,65904
61177598,Women,Charles Bukowski,1978,3.89,41866
451200810,"North and South (North and South, #1)",John Jakes,1982,4.19,49016
044101819X,"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,2010,4.38,71830
752858491,"The Bourne Ultimatum (Jason Bourne, #3)",Robert Ludlum,1990,4.04,47682
6486010,"Fool's Errand (Tawny Man, #1)",Robin Hobb,2001,4.29,50758
399167838,"The Young Elites (The Young Elites, #1)",Marie Lu,2014,3.93,60930
515126772,"Jewels of the Sun (Gallaghers of Ardmore, #1)",Nora Roberts,1999,4.22,50630
140449337,Meditations,"Marcus Aurelius, Martin Hammond, Diskin Clay",180,4.2,43876
078684907X,"Peter and the Starcatchers (Peter and the Starcatchers, #1)","Dave Barry, Ridley Pearson, Greg Call",2004,4.01,57575
143036556,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2004,3.92,44238
679735909,Possession,A.S. Byatt,1990,3.88,56064
1423102282,"Revelations (Blue Bloods, #3)",Melissa de la Cruz,2008,3.89,66170
425143325,"Without Remorse (Jack Ryan Universe, #1)",Tom Clancy,1993,4.16,47148
1566195764,The Interpretation of Dreams,Sigmund Freud,1899,3.81,41081
671685635,Ghost Story,Peter Straub,1979,3.95,53017
64410153,"The Penultimate Peril (A Series of Unfortunate Events, #12)","Lemony Snicket, Brett Helquist",2005,4.02,67482
076790382X,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,Bill Bryson,1998,3.89,44610
64410161,"The End (A Series of Unfortunate Events, #13)","Lemony Snicket, Brett Helquist",2006,3.99,67018
143035746,The Liars' Club,Mary Karr,1995,3.92,45153
193700788X,"Dead Ever After (Sookie Stackhouse, #13)",Charlaine Harris,2013,3.39,49926
000712774X,The Illustrated Man,Ray Bradbury,1951,4.13,49551
374104093,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,2014,3.62,45353
60775823,The Runaway Bunny,"Margaret Wise Brown, Clement Hurd",1942,4.14,52974
553805371,The Grand Design,"Stephen Hawking, Leonard Mlodinow",2010,4,42687
385517238,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,2006,3.79,43793
452277752,The Bachman Books,"Richard Bachman, Stephen King",1985,4.1,52824
140006922X,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,2013,3.82,41094
812551494,"Soul of the Fire (Sword of Truth, #5)",Terry Goodkind,1999,3.87,48632
1590514637,The Art of Hearing Heartbeats,"Jan-Philipp Sendker, Kevin Wiliarty",2002,3.98,41647
1857231384,"Consider Phlebas (Culture, #1)",Iain M. Banks,1987,3.85,48649
671646788,The Magic of Thinking Big,David J. Schwartz,1959,4.19,40023
345434803,"The Vampire Armand (The Vampire Chronicles, #6)",Anne Rice,1998,3.75,54919
6479901,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",George R.R. Martin,2000,4.49,42072
140382623,Pinocchio,"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",1883,3.86,48961
054762834X,"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,2012,3.92,70476
1565075722,The Power of a Praying Wife,Stormie Omartian,1996,4.31,22618
802131786,Tropic of Cancer,Henry Miller,1934,3.71,45518
60393491,The Hour I First Believed,Wally Lamb,2007,3.8,46475
61997811,Harry Potter: Film Wizardry,Brian Sibley,2010,4.48,45081
1600964338,The Death of Ivan Ilych,"Leo Tolstoy, Aylmer Maude",1886,4.04,46357
345534182,Circling the Sun,Paula McLain,2015,3.93,37839
142000701,Travels with Charley: In Search of America,John Steinbeck,1962,4.07,45856
145161747X,The Dovekeepers,Alice Hoffman,2011,4.02,48640
553804693,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,2013,4.23,45320
1903434777,The Thief Lord,Cornelia Funke,2000,3.95,60780
1444778536,"World After (Penryn & the End of Days, #2)",Susan Ee,2013,4.22,33994
553804804,"Brother Odd (Odd Thomas, #3)",Dean Koontz,2006,3.98,48400
451208641,Black Like Me,John Howard Griffin,1960,4.12,47324
385517882,Snuff,Chuck Palahniuk,2008,3.18,43496
446692654,"Jack & Jill (Alex Cross, #3)",James Patterson,1996,3.95,51119
1400076196,Saturday,Ian McEwan,2005,3.61,45567
345466608,"When the Bough Breaks (Alex Delaware, #1)",Jonathan Kellerman,1985,4.02,48860
446364495,The Bridges of Madison County,Robert James Waller,1992,3.51,56428
593057058,"Gone Tomorrow (Jack Reacher, #13)",Lee Child,2009,4.17,51570
385735294,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael Scott,2009,4.11,58278
805090037,"Bring Up the Bodies (Thomas Cromwell, #2)",Hilary Mantel,2012,4.26,42306
545060397,"The Maze of Bones  (The 39 Clues, #1)",Rick Riordan,2008,3.83,59536
28610105,How to Cook Everything: Simple Recipes for Great Food,Mark Bittman,1998,4.02,52708
316003727,"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer,2007,3.78,42361
486234118,Concerning the Spiritual in Art,Wassily Kandinsky,1912,3.81,56444
743453255,"Forrest Gump (Forrest Gump, #1)",Winston Groom,1986,4.06,45660
679720227,The Fall,"Albert Camus, Justin O'Brien",1956,4.05,43269
1842430246,Even Cowgirls Get the Blues,Tom Robbins,1976,3.74,40840
375757856,The Moonstone,"Wilkie Collins, Carolyn G. Heilbrun",1868,3.9,50322
60747226,"Son of a Witch (The Wicked Years, #2)","Gregory Maguire, Douglas Smith",2004,3.45,48982
224081187,On Chesil Beach,Ian McEwan,2007,3.54,43698
449223604,"M is for Malice (Kinsey Millhone, #13)",Sue Grafton,1996,4.07,52843
751530484,"Point of Origin (Kay Scarpetta, #9)",Patricia Cornwell,1998,4.02,48683
618062416,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,1985,3.72,53317
60735414,"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,1995,3.93,48520
316038393,Squirrel Seeks Chipmunk: A Modest Bestiary,"David Sedaris, Ian Falconer",2010,3.34,48061
159285849X,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2010,4.17,46635
62491792,Commonwealth,Ann Patchett,2016,3.84,56656
1423102266,"The Van Alen Legacy (Blue Bloods, #4)",Melissa de la Cruz,2009,3.95,58724
670175919,Blueberries for Sal,Robert McCloskey,1948,4.18,58571
743289412,Lisey's Story,Stephen King,2006,3.65,50721
1451695195,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,2012,3.68,37150
61092193,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,1993,4.36,54413
743291476,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,2007,3.76,48711
575075066,God Emperor of Dune (Dune Chronicles #4),Frank Herbert,1981,3.81,45608
034554689X,The One & Only,Emily Giffin,2014,3.11,36795
553381660,"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,1982,3.98,52572
525953485,Six Years,Harlan Coben,2013,3.8,36523
192750976,"Ramona the Pest (Ramona, #2)",Beverly Cleary,1968,4.04,52242
1416974512,"Night World, No. 2 (Night World, #4-6)",L.J. Smith,2008,4.2,53023
375713344,Geek Love,Katherine Dunn,1989,3.98,41176
015602764X,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #13)","Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",-401,3.96,42175
156004801,All the King's Men,Robert Penn Warren,1946,4.08,42821
553375938,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",Ann Brashares,2005,3.82,56485
525950125,The Woods,Harlan Coben,2007,4.04,46234
1841492612,"New Spring (Wheel of Time, #0)",Robert Jordan,2004,4.01,52823
1444729705,The Litigators,John Grisham,2011,3.77,38391
1501115065,My Grandmother Asked Me to Tell You She's Sorry,"Fredrik Backman, Henning Koch",2013,4.02,49291
141659518X,"American Assassin (Mitch Rapp, #1)",Vince Flynn,2010,4.24,44196
1592407331,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,2012,4.24,49636
316243914,Burial Rites,Hannah Kent,2013,4.01,41209
1573229725,Fingersmith,Sarah Waters,2002,4.02,41761
679731148,A Year in Provence,Peter Mayle,1989,3.94,47139
763625892,The Miraculous Journey of Edward Tulane,"Kate DiCamillo, Bagram Ibatoulline",2000,4.34,53245
670022802,The Last Letter from Your Lover,Jojo Moyes,2008,3.94,41138
345298349,"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,1981,4.04,46847
62207393,The House Girl,Tara Conklin,2013,3.75,41671
439771277,Out of the Dust,Karen Hesse,1997,3.73,53706
60851988,"Queen of Babble (Queen of Babble, #1)",Meg Cabot,2006,3.71,54248
1419705849,"The Third Wheel (Diary of a Wimpy Kid, #7)",Jeff Kinney,2012,4.21,44607
1405258217,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,2012,4.08,55139
1416903542,"Burned (Burned, #1)",Ellen Hopkins,2006,4.24,48333
6472613,Master of the Game,Sidney Sheldon,1982,4.09,40111
425201449,"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,1994,4.04,51115
60845546,"The Boy Next Door (Boy, #1)",Meg Cabot,2002,3.83,50953
141026286,The Epic of Gilgamesh,"Anonymous, N.K. Sandars",-1750,3.63,44345
61345660,"The Luxe (Luxe, #1)",Anna Godbersen,2007,3.63,58717
072325804X,The Complete Tales,Beatrix Potter,1986,4.36,56807
99771810,"American Pastoral (The American Trilogy, #1)",Philip Roth,1997,3.91,38017
1594634718,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,2015,3.9,67046
451464397,"Skin Game (The Dresden Files, #15)",Jim Butcher,2014,4.55,41512
373772467,The Darkest Night (Lords of the Underworld #1),Gena Showalter,2008,4.09,63240
61474096,Anathem,Neal Stephenson,2008,4.18,44848
60852577,The Lacuna,Barbara Kingsolver,2009,3.76,45671
552154288,"Hogfather (Discworld, #20; Death, #4)",Terry Pratchett,1996,4.22,50364
345435168,Open House,Elizabeth Berg,2000,3.68,48639
1451661509,The Silver Star,Jeannette Walls,2013,3.68,43487
552992097,The Hotel New Hampshire,John Irving,1981,3.89,46220
425204669,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",Laurell K. Hamilton,1994,4.11,62189
051513628X,"Key of Light (Key Trilogy, #1)",Nora Roberts,2003,4.16,48805
1416950052,Identical,Ellen Hopkins,2008,4.34,47804
785136223,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",2010,4.52,40626
307932230,"Smokin' Seventeen (Stephanie Plum, #17)","Janet Evanovich, Lorelei King",2011,3.94,41932
7158505,The Sneetches and Other Stories,Dr. Seuss,1961,4.31,52954
805053883,"Polar Bear, Polar Bear, What Do You Hear?","Bill Martin Jr., Eric Carle",1982,4.16,44414
3518367064,Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,1919,4.1,37459
385333471,"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,1965,3.94,40353
1421505851,"Skip Beat!, Vol. 01","Yoshiki Nakamura, Tomo Kimura",2002,4.26,46708
439249546,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)","J.K. Rowling, Mary GrandPré",1999,4.66,43929
1597801577,The Windup Girl,Paolo Bacigalupi,2009,3.74,41728
140436065,The Importance of Being Earnest and Other Plays,"Oscar Wilde, Richard Allen Cave",1954,4.26,41002
525425632,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,2014,4.1,70995
441014895,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,2007,4.07,69410
1400096278,Suite Française,"Irène Némirovsky, Sandra Smith",2004,3.82,40259
140446745,The Letters of Vincent van Gogh,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",1914,3.99,48040
61020672,"Sourcery (Discworld, #5; Rincewind #3)",Terry Pratchett,1988,3.87,50746
1932664122,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",Bryan Lee O'Malley,2005,4.24,47154
1401204252,Batman: Arkham Asylum - A Serious House on Serious Earth,"Grant Morrison, Dave McKean",1989,4.09,45345
144242673X,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,2015,4.17,62907
1455559822,"Memory Man (Amos Decker, #1)",David Baldacci,2015,4.05,36871
156512569X,Mudbound,Hillary Jordan,2008,3.99,43455
871137380,Black Hawk Down,Mark Bowden,1999,4.28,40442
765376458,"A Darker Shade of Magic (Shades of Magic, #1)","V.E. Schwab, Victoria Schwab",2015,4.07,61419
385513534,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,2009,3.86,45937
385743580,"Firefight (The Reckoners, #2)",Brandon Sanderson,2015,4.29,41924
1841493139,"The Magicians' Guild (Black Magician Trilogy, #1)",Trudi Canavan,2001,3.96,48537
385905165,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael Scott,2010,4.12,46878
385340583,"61 Hours (Jack Reacher, #14)",Lee Child,2010,4.08,43605
439324599,Cut,Patricia McCormick,2000,3.76,48239
224064908,George's Marvellous Medicine,"Roald Dahl, Quentin Blake",1981,4.02,49863
1400033837,A Thousand Acres,Jane Smiley,1991,3.79,47389
805080481,"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,1964,4,56593
441016154,"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,2008,4.11,66901
689829531,Olivia,Ian Falconer,2000,4.13,51185
375705856,"Plainsong (Plainsong, #1)",Kent Haruf,1999,4,45331
1560974273,Ghost World,Daniel Clowes,1998,3.87,49105
1250006325,"Torn (Trylle, #2)",Amanda Hocking,2010,4.04,29554
451529693,Fathers and Sons,"Ivan Turgenev, George Reavy, Jane Costlow",1862,3.94,41870
884271781,The Goal: A Process of Ongoing Improvement,"Eliyahu M. Goldratt, Jeff Cox",1984,4,34837
670021040,Caleb's Crossing,Geraldine Brooks,2011,3.81,47525
61284394,"Evernight (Evernight, #1)",Claudia Gray,2008,3.64,63486
385340559,"Bad Luck and Trouble (Jack Reacher, #11)",Lee Child,2007,4.17,42539
452286530,The Jane Austen Book Club,Karen Joy Fowler,2004,3.07,53128
385539703,The Children Act,Ian McEwan,2014,3.68,33100
739377728,"Sizzling Sixteen (Stephanie Plum, #16)",Janet Evanovich,2009,3.93,55685
62301233,Elon Musk: Inventing the Future,Ashlee Vance,2015,4.25,55606
1841499900,"Caliban's War (The Expanse, #2)",James S.A. Corey,2012,4.28,39138
1452440026,"Barely Breathing (Breathing, #2)",Rebecca Donovan,2012,4.33,53483
147712556,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",-762,4.03,47825
1563893304,Kingdom Come,"Mark Waid, Alex Ross, Elliot S. Maggin",1996,4.24,43036
61120669,Papillon,Henri Charrière,1969,4.23,39073
1573227889,Tipping the Velvet,Sarah Waters,1998,4,36560
031620157X,"The Wishing Spell (The Land of Stories, #1)","Chris Colfer, Brandon Dorman",2012,4.21,51752
1400063973,The 19th Wife,David Ebershoff,2008,3.63,44921
64407314,Monster,Walter Dean Myers,1999,3.7,47533
345529057,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",George R.R. Martin,2011,4.63,28654
743493915,"Body of Evidence (Kay Scarpetta, #2)",Patricia Cornwell,1991,4,50113
60887370,"Perfect (Pretty Little Liars, #3)",Sara Shepard,2007,4.02,50922
1939045010,"The Secret of Ella and Micha (The Secret, #1)",Jessica Sorensen,2012,4.01,59890
345522478,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,2011,4.12,51086
743211375,From a Buick 8,Stephen King,2002,3.42,47320
553560735,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,1993,3.84,46121
1558611584,The Yellow Wall-Paper,"Charlotte Perkins Gilman, Elaine Hedges",1892,4.11,44677
1593083254,The Time Machine/The Invisible Man,"H.G. Wells, Alfred MacAdam",1968,4.08,47600
515121843,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,1998,4.24,48078
031607991X,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,2012,4.45,42445
1442435003,Since You've Been Gone,Morgan Matson,2014,4.19,59705
446573647,An Object of Beauty,Steve Martin,2010,3.58,42488
761121323,What to Expect When You're Expecting,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",1969,3.75,34120
399244565,"The Icebound Land (Ranger's Apprentice, #3)",John Flanagan,2005,4.22,48446
61240850,"Anybody Out There? (Walsh Family, #4)",Marian Keyes,2006,3.91,45243
804139296,"Zero to One: Notes on Startups, or How to Build the Future","Peter Thiel, Blake  Masters",2014,4.17,47807
1619636077,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,2016,4.58,63322
1593080336,"A Christmas Carol, The Chimes and The Cricket on the Hearth","Charles Dickens, Katharine Kroeber Wiley",1843,4.11,48557
804188971,The Grownup,Gillian Flynn,2014,3.54,42536
380789027,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,1998,4.05,46486
9382618341,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,2013,3.66,35936
385333501,Welcome to the Monkey House,Kurt Vonnegut Jr.,1968,4.13,40071
385349068,Dad Is Fat,Jim Gaffigan,2013,3.76,40489
671869205,Truman,David McCullough,1992,4.15,53088
143034758,Alexander Hamilton,Ron Chernow,2004,4.26,46198
807218731,The Cat in the Hat and Other Dr. Seuss Favorites,"Dr. Seuss, Various",2003,4.41,46279
140448071,Dead Souls,"Nikolai Gogol, Robert A. Maguire",1842,3.98,40699
62392174,"The Crown (The Selection, #5)",Kiera Cass,2016,3.8,64158
446573019,"Zero Day (John Puller, #1)",David Baldacci,2011,3.99,38649
312367481,Tikki Tikki Tembo,"Arlene Mosel, Blair Lent",1968,4.21,52536
1416974504,"Night World, No. 1 (Night World, #1-3)",L.J. Smith,2008,4.04,54940
1451533969,"Love Unscripted (Love, #1)",Tina Reber,2010,4.04,59261
446608815,"Pop Goes the Weasel (Alex Cross, #5)",James Patterson,1999,3.98,46820
802136834,The Six Wives of Henry VIII,Alison Weir,1980,4.1,47913
140185852,We,"Yevgeny Zamyatin, Clarence Brown",1924,3.95,40020
571171788,Pigs in Heaven,Barbara Kingsolver,1993,3.97,43374
765354063,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,2006,4.09,40107
074326195X,"Cry, the Beloved Country",Alan Paton,1948,3.87,47389
60987529,Confessions of an Ugly Stepsister,Gregory Maguire,1999,3.51,50526
3426615355,How to Be Good,Nick Hornby,2001,3.18,37497
1442468351,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,2016,4.47,84711
1905294719,"Inkdeath (Inkworld, #3)",Cornelia Funke,2007,3.93,53591
553293389,Foundation's Edge (Foundation #4),Isaac Asimov,1982,4.08,47641
486452433,Jude the Obscure,Thomas Hardy,1895,3.8,44873
345335651,"Queen of Sorcery (The Belgariad, #2)",David Eddings,1982,4.13,49355
374529531,The Lottery and Other Stories,Shirley Jackson,1949,4.06,48608
545060508,"Into the Gauntlet (The 39 Clues, #10)",Margaret Peterson Haddix,2010,3.99,48461
61668036,"Wings (Wings, #1)",Aprilynne Pike,2009,3.75,62566
316910333,"Gossip Girl (Gossip Girl, #1)",Cecily von Ziegesar,2002,3.51,49670
553271989,The Odessa File,Frederick Forsyth,1972,4.1,42529
1400067685,The Burgess Boys,Elizabeth Strout,2013,3.54,39445
1609411153,Lies That Chelsea Handler Told Me,"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",2011,3.74,37936
1444705105,"Broken Harbour (Dublin Murder Squad, #4)",Tana French,2012,3.92,36704
517053616,The Complete Works,William Shakespeare,1623,4.49,39503
61054887,The Dispossessed,Ursula K. Le Guin,1974,4.18,46660
1400031575,"Faceless Killers (Kurt Wallander, #1)","Henning Mankell, Steven T. Murray",1991,3.78,43861
385528043,The Confession,John Grisham,2010,3.81,41389
425192032,Lightning,Dean Koontz,1988,4.06,44424
1570425779,"Cat and Mouse (Alex Cross, #4)","James Patterson, Keith David, Anthony Heald",1997,3.96,45217
142408808,"Superfudge (Fudge, #3)",Judy Blume,1980,3.98,50917
735221081,The Couple Next Door,Shari Lapena,2016,3.74,63237
61996181,"Hallowed (Unearthly, #2)",Cynthia Hand,2012,4.15,58860
031624662X,Ancillary Justice (Imperial Radch #1),Ann Leckie,2013,3.97,38747
765340747,"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind,2001,3.67,43424
60566108,Built to Last: Successful Habits of Visionary Companies,"James C. Collins, Jerry I. Porras",1994,3.98,39618
1616149981,The Life We Bury,Allen Eskens,2014,3.93,35689
1595547169,Fireproof,Eric Wilson,2008,4.47,37258
140273344,"The Eagle Has Landed (Liam Devlin, #1)",Jack Higgins,1975,4.15,41677
425201376,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",Laurell K. Hamilton,1996,4.12,58023
978970764,"John Dies at the End (John Dies at the End, #1)",David Wong,2007,3.92,35387
345409469,The Demon-Haunted World: Science as a Candle in the Dark,"Carl Sagan, Ann Druyan",1995,4.27,40583
1906427135,Stolen: A Letter to My Captor,Lucy Christopher,2009,3.93,52435
1573225126,Prozac Nation,Elizabeth Wurtzel,1994,3.57,44408
080508049X,The Black Cauldron (The Chronicles of Prydain #2),Lloyd Alexander,1965,4.13,49138
525949690,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,2006,3.86,37465
62294377,The First Phone Call from Heaven,Mitch Albom,2013,3.73,38957
031242681X,Possible Side Effects,Augusten Burroughs,2006,3.97,38243
1400065755,Still Life with Bread Crumbs,Anna Quindlen,2014,3.63,35682
1579126243,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,1936,3.97,49513
310902711,Holy Bible: New International Version,Anonymous,1909,4.61,40430
451235843,"Lover Reborn (Black Dagger Brotherhood, #10)",J.R. Ward,2012,4.35,57866
380800829,"The Duke and I (Bridgertons, #1)",Julia Quinn,2000,4.11,57839
786930705,"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)","Margaret Weis, Tracy Hickman",1985,4.12,39928
375508333,A Raisin in the Sun,Lorraine Hansberry,1959,3.72,44237
345457692,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,2002,4.1,41505
425184226,"The Sum of All Fears (Jack Ryan Universe, #7)",Tom Clancy,1991,3.99,43888
1607066920,"Saga, Vol. 2 (Saga, #2)","Brian K. Vaughan, Fiona Staples",2013,4.57,56122
440241014,"The Enemy (Jack Reacher, #8)",Lee Child,2004,4.15,42205
393244660,Flash Boys: A Wall Street Revolt,Michael   Lewis,2014,4.12,18379
375701214,The Diving Bell and the Butterfly,"Jean-Dominique Bauby, Jeremy Leggatt",1997,4.01,41037
805096663,Killing Kennedy: The End of Camelot,"Bill O'Reilly, Martin Dugard",2012,4.05,35799
385539436,Rogue Lawyer,John Grisham,2015,3.7,29156
076791936X,The Life and Times of the Thunderbolt Kid,Bill Bryson,2006,3.93,42680
312595670,Still Missing,Chevy Stevens,2010,3.96,44223
6551815,"'Tis (Frank McCourt, #2)",Frank McCourt,1999,3.66,40726
1400032059,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,2005,4.01,41815
1250060559,"Fairest (The Lunar Chronicles, #3.5)",Marissa Meyer,2015,4.02,59545
679763309,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,1995,4.03,41102
1591451884,Jesus Calling: Enjoying Peace in His Presence,Sarah  Young,2004,4.54,35219
451218590,Who's Afraid of Virginia Woolf?,Edward Albee,1962,4.09,45045
575077832,"The Last Wish (The Witcher, #1)",Andrzej Sapkowski,1993,4.2,36262
015603297X,Foucault's Pendulum,"Umberto Eco, William Weaver",1988,3.89,40829
067056172X,A Pocket for Corduroy,Don Freeman,1978,4.29,47277
1594831114,"The 5th Horseman (Women's Murder Club, #5)","James Patterson, Maxine Paetro",2006,4.03,45097
330493744,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,2001,4.04,52071
1595551387,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,2009,4.23,35611
345527712,"Explosive Eighteen (Stephanie Plum, #18)",Janet Evanovich,2011,3.92,52993
61449091,"Lies (Gone, #3)",Michael  Grant,2010,4.09,48506
875093663,The Pursuit of God,A.W. Tozer,1948,4.38,35078
373210361,"The Iron Knight (The Iron Fey, #4)",Julie Kagawa,2011,4.23,64066
142004332,"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,2003,3.91,49820
586217835,"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,1982,4.32,43964
